Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EmployeeValueScore,ReplacementDifficulty,FinancialLoss,AttritionProbability,CriticalityScore,CriticalityLevel,ActionPriority,Recommendations
24,0,830,2,13,2,1,4,0,78,3,1,8,2,1,2033,7103,1,0,13,3,3,1,1,2,3,1,0,0,0,75.033,28,112198,0.167509846740874,394.8533245300942,Low,Monitor,"['Improve job satisfaction', 'Consider salary adjustment']"
44,2,1117,1,2,1,1,1,0,72,4,1,6,4,1,2011,19982,1,0,13,3,4,1,10,5,3,10,5,7,7,102.011,100,1012066,0.0079389442392733,819.631407218318,Low,Monitor,"['Improve work environment', 'Consider salary adjustment', 'Provide promotion opportunity']"
31,2,688,2,7,3,1,3,1,44,2,3,3,4,0,11557,25291,9,0,21,4,3,1,10,3,2,5,4,0,1,136.557,115,569342,0.2139203371427547,19126.570456467754,Medium,Review Within 30 Days,"['Provide flexible work policy', 'Increase employee engagement']"
44,2,1199,1,4,2,1,3,1,92,4,5,3,1,0,19190,17477,1,0,14,3,4,2,26,4,2,25,9,14,13,204.19,303,2615140,0.0023012027393858,3723.2905109730623,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Provide promotion opportunity']"
36,2,318,1,9,3,3,4,1,79,2,1,6,3,1,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,76.388,31,120328,0.4845795301480296,1380.761267838479,Low,Monitor,"['Provide flexible work policy', 'Increase employee engagement', 'Reduce overtime workload', 'Consider salary adjustment']"
40,2,448,1,16,3,1,3,0,84,3,3,4,4,2,7945,19948,6,1,15,3,4,0,18,2,2,4,2,3,3,109.945,134,447670,0.2830540499584894,18668.4236034784,Medium,Review Within 30 Days,"['Provide flexible work policy', 'Offer stock incentives', 'Reduce overtime workload']"
52,2,319,1,3,3,3,4,1,39,2,3,4,3,1,7969,19609,2,1,14,3,3,0,28,4,3,5,4,0,4,112.969,169,547814,0.0208258114949328,2178.1162193606738,Low,Monitor,"['Offer stock incentives', 'Increase employee engagement', 'Reduce overtime workload']"
43,2,823,1,6,3,3,1,0,81,2,5,3,3,1,19392,22539,7,0,13,3,4,0,21,2,3,16,12,6,14,177.392,243,1716352,0.0099553678964173,7365.529580932943,Low,Monitor,"['Offer stock incentives', 'Increase employee engagement', 'Improve work environment', 'Provide promotion opportunity']"
35,2,1370,1,27,4,1,4,1,49,3,2,4,3,1,6883,5151,2,0,16,3,2,1,17,3,3,7,7,0,7,107.883,126,741298,0.0092081665970697,927.87517694675,Low,Monitor,['Maintain current retention strategy']
18,0,1431,1,14,3,3,2,0,33,3,1,6,3,2,1514,8018,1,0,16,3,3,0,0,4,1,0,0,0,0,71.514,20,9084,0.3406904342442724,44.26476176618517,Low,Monitor,"['Provide flexible work policy', 'Offer stock incentives', 'Improve work environment', 'Consider salary adjustment']"
34,2,678,1,19,3,1,2,0,35,2,1,6,4,1,2929,20338,1,0,12,3,2,0,10,3,3,10,9,8,7,102.929,100,1017574,0.1239734499887162,12984.715614760937,Medium,Review Within 30 Days,"['Offer stock incentives', 'Increase employee engagement', 'Improve work environment', 'Consider salary adjustment', 'Provide promotion opportunity']"
54,2,1082,2,2,4,1,3,0,41,2,3,7,3,1,10686,8392,6,0,11,3,2,1,13,4,3,9,4,7,0,127.686,144,964116,0.1075222329341764,19060.45832177056,Medium,Review Within 30 Days,"['Increase employee engagement', 'Provide promotion opportunity']"
35,1,138,1,2,3,3,2,0,37,3,2,2,2,2,4425,15986,5,0,11,3,4,0,10,5,3,6,2,1,2,102.425,100,626550,0.1848698586792593,11863.909254691056,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Improve work environment', 'Consider salary adjustment']"
31,2,196,2,29,4,2,1,0,91,2,2,7,4,1,5468,13402,1,0,14,3,1,2,13,3,3,12,7,5,7,121.468,139,1232808,0.2151303855552529,44778.94739795893,Critical,Immediate Action,"['Increase employee engagement', 'Improve work environment']"
51,1,968,1,6,2,3,2,0,40,2,1,2,3,2,2838,4257,0,0,14,3,2,0,8,6,2,7,0,7,7,93.838,79,717028,0.1374860002685205,7308.031778023626,Low,Monitor,"['Provide flexible work policy', 'Offer stock incentives', 'Increase employee engagement', 'Improve work environment', 'Consider salary adjustment', 'Provide promotion opportunity']"
27,2,1220,1,5,3,1,3,0,85,3,1,6,2,2,2478,20938,1,1,12,3,2,0,4,2,2,4,3,1,2,84.478,52,414868,0.5291619810779957,9643.741008987705,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Offer stock incentives', 'Reduce overtime workload', 'Consider salary adjustment']"
41,2,645,2,1,3,2,2,1,49,4,3,7,1,1,8392,19566,1,0,16,3,3,1,10,2,3,10,7,0,7,128.392,140,1050352,0.0162427005044536,3066.6139219420797,Low,Monitor,"['Improve job satisfaction', 'Improve work environment']"
38,0,1327,2,2,2,1,4,1,39,2,2,7,4,1,5249,19682,3,0,18,3,4,1,13,0,3,8,7,7,5,109.249,119,831494,0.0320927769250685,3469.212071392972,Low,Monitor,"['Increase employee engagement', 'Provide promotion opportunity']"
30,2,946,1,2,3,3,3,0,52,2,2,4,4,2,6877,20234,5,1,24,4,2,0,12,4,2,0,0,0,0,106.877,76,41262,0.4345670682129938,1456.481370071585,Low,Monitor,"['Provide flexible work policy', 'Offer stock incentives', 'Increase employee engagement', 'Reduce overtime workload']"
35,2,287,1,1,4,1,3,0,62,1,1,6,4,1,2977,8952,1,0,12,3,4,1,4,5,3,4,3,1,1,84.977,52,417862,0.0408714948755151,754.6718303626093,Low,Monitor,"['Increase employee engagement', 'Consider salary adjustment']"
29,2,341,2,1,3,3,2,0,48,2,1,8,3,0,2800,23522,6,1,19,3,3,3,5,3,3,3,2,0,2,81.8,50,316800,0.3573591407559481,4630.34526987171,Low,Monitor,"['Increase employee engagement', 'Improve work environment', 'Reduce overtime workload', 'Consider salary adjustment']"
31,2,330,1,22,4,3,4,1,98,3,2,4,3,1,6179,21057,1,1,15,3,4,2,10,3,2,10,2,6,7,116.179,120,1037074,0.2110249863527695,30510.72357973072,Medium,Review Within 30 Days,"['Provide flexible work policy', 'Reduce overtime workload', 'Provide promotion opportunity']"
45,2,1457,1,7,3,3,1,0,83,3,1,6,3,1,4477,20100,4,1,19,3,3,1,7,2,2,3,2,0,2,83.477,56,326862,0.1851418326929295,2828.9407537117822,Low,Monitor,"['Provide flexible work policy', 'Improve work environment', 'Reduce overtime workload', 'Consider salary adjustment']"
40,0,1142,1,8,2,1,4,1,72,3,2,0,4,0,4069,8841,3,1,18,3,3,0,8,2,3,2,2,2,2,90.069,74,224414,0.1165987994138473,1744.0184944482312,Low,Monitor,"['Offer stock incentives', 'Reduce overtime workload', 'Consider salary adjustment']"
28,2,857,1,10,3,4,3,0,59,3,2,6,3,2,3660,7909,3,0,13,3,4,0,10,4,4,8,7,1,7,107.66,110,821960,0.0144449310777319,1406.0903190047245,Low,Monitor,"['Offer stock incentives', 'Consider salary adjustment']"
25,2,891,2,4,2,1,2,0,99,2,2,7,4,2,4487,12090,1,1,11,3,2,0,5,3,3,5,4,1,3,99.487,80,526922,0.5810984141026009,24369.82125623836,Medium,Review Within 30 Days,"['Offer stock incentives', 'Increase employee engagement', 'Improve work environment', 'Reduce overtime workload', 'Consider salary adjustment']"
42,2,855,1,12,3,3,2,1,57,3,1,2,2,0,2766,8952,8,0,22,4,2,3,7,6,2,5,3,0,4,107.766,66,516596,0.0828105609561052,3042.723330032298,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Improve work environment', 'Consider salary adjustment']"
51,1,1150,1,8,4,1,1,1,53,1,3,4,4,2,10650,25150,2,0,15,3,4,0,18,2,3,4,2,0,3,112.65,134,463900,0.0390521793492438,2734.674507023244,Low,Monitor,"['Offer stock incentives', 'Increase employee engagement', 'Improve work environment']"
35,2,882,2,3,4,1,4,1,92,3,3,7,4,0,7823,6812,6,0,13,3,2,1,12,2,3,10,9,0,8,127.823,146,1046938,0.0082541809503788,1612.7119749081742,Low,Monitor,['Maintain current retention strategy']
41,2,1360,1,12,3,5,2,0,49,3,5,5,3,1,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,195.545,279,2317270,0.0104932198577875,13265.88813005467,Medium,Review Within 30 Days,"['Offer stock incentives', 'Improve work environment', 'Provide promotion opportunity']"
35,2,819,1,18,5,1,2,1,48,4,2,6,1,1,5208,26312,1,0,11,3,4,0,16,2,3,16,15,1,10,133.208,168,1631248,0.0119959268931383,4379.1860046436905,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Improve work environment']"
48,2,969,1,2,2,5,4,1,76,4,1,2,2,2,2559,16620,5,0,11,3,3,0,7,4,2,1,0,0,0,75.559,46,115354,0.0757544731902941,303.7281006105761,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Offer stock incentives', 'Consider salary adjustment']"
45,2,252,1,2,3,1,2,0,95,2,1,6,3,2,2274,6153,1,0,14,3,4,0,1,3,3,1,0,0,0,75.274,28,113644,0.1017282493616986,243.66385355235613,Low,Monitor,"['Offer stock incentives', 'Increase employee engagement', 'Improve work environment', 'Consider salary adjustment']"
49,2,174,2,8,4,5,4,1,56,2,4,7,2,1,13120,11879,6,0,17,3,2,1,22,3,3,9,8,2,3,140.12,191,978720,0.0252501231677962,6613.86704009578,Low,Monitor,"['Improve job satisfaction', 'Increase employee engagement']"
34,2,546,1,10,3,1,2,1,83,3,1,2,2,0,2008,6896,1,0,14,3,2,2,1,3,3,1,0,1,0,75.008,28,112048,0.1513642544064311,356.19929207119776,Low,Monitor,"['Improve job satisfaction', 'Improve work environment', 'Consider salary adjustment']"
33,1,1076,1,3,3,1,1,1,70,3,1,6,1,2,3348,3164,1,1,11,3,1,0,10,3,3,10,8,9,7,103.348,100,1020088,0.7466973974364016,78719.86721493384,Critical,Immediate Action,"['Improve job satisfaction', 'Offer stock incentives', 'Improve work environment', 'Reduce overtime workload', 'Consider salary adjustment', 'Provide promotion opportunity']"
37,2,397,1,7,4,3,1,1,30,3,3,5,3,2,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,118.664,133,581984,0.0991969884569849,9111.296030647864,Low,Monitor,"['Offer stock incentives', 'Improve work environment']"
27,2,954,2,9,3,2,4,1,44,3,2,7,4,2,4105,5099,1,0,14,3,1,0,7,5,3,7,7,0,7,105.105,96,724630,0.0350542478014453,2563.0175031497283,Low,Monitor,"['Offer stock incentives', 'Consider salary adjustment']"
30,2,853,1,7,4,1,3,1,49,3,2,2,3,0,3491,11309,1,0,13,3,1,3,10,4,2,10,7,8,9,113.491,120,1020946,0.0336362744215244,4676.848779386843,Low,Monitor,"['Provide flexible work policy', 'Consider salary adjustment', 'Provide promotion opportunity']"
31,0,335,1,9,2,3,3,1,46,2,1,6,1,2,2321,10322,0,1,22,4,1,0,4,0,3,3,2,1,2,101.321,47,313926,0.8309205846104561,12421.788480054014,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Offer stock incentives', 'Increase employee engagement', 'Reduce overtime workload', 'Consider salary adjustment']"
51,2,313,1,3,3,3,4,0,98,3,4,0,2,2,13734,7192,3,0,18,3,3,0,21,6,3,7,7,1,0,134.734,178,782404,0.0056068131482477,1052.069307410368,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives']"
24,2,477,1,24,3,3,4,1,49,3,1,2,2,2,3597,6409,8,0,22,4,4,0,6,2,3,4,3,1,2,105.597,58,421582,0.5179856202905181,13374.554877048164,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Offer stock incentives', 'Consider salary adjustment']"
43,2,1034,2,16,3,2,4,0,80,3,4,3,4,1,16064,7744,5,1,22,4,3,1,22,3,3,17,13,1,9,187.064,231,1796384,0.0136570951815991,10601.314315299152,Low,Monitor,['Reduce overtime workload']
56,2,1443,2,11,5,2,4,0,89,2,2,7,1,1,5380,20328,4,0,16,3,3,1,6,3,3,0,0,0,0,85.38,58,32280,0.0575571734474817,92.00620725419444,Low,Monitor,"['Improve job satisfaction', 'Increase employee engagement']"
30,2,241,1,7,3,3,2,1,48,2,1,6,2,1,2141,5348,1,0,12,3,2,1,6,3,2,6,4,1,1,90.141,68,612846,0.2915133979971916,10950.681810802873,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Increase employee engagement', 'Improve work environment', 'Consider salary adjustment']"
34,2,1480,2,4,3,1,3,1,64,3,3,7,4,1,9713,24444,2,1,13,3,4,3,9,3,3,5,3,1,0,114.713,112,558278,0.0588643781049699,4222.15073942443,Low,Monitor,['Reduce overtime workload']
23,2,160,1,4,1,3,3,0,51,3,1,2,2,2,3295,12862,1,0,13,3,3,0,3,3,1,3,2,1,2,82.295,44,319770,0.3509656850161627,4063.7641922453417,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Offer stock incentives', 'Consider salary adjustment']"
35,1,146,1,2,4,3,1,1,79,2,1,6,4,2,4930,13970,0,1,14,3,3,0,6,2,4,5,4,1,4,89.93,63,529580,0.3260244715515721,9781.983316482452,Low,Monitor,"['Offer stock incentives', 'Increase employee engagement', 'Improve work environment', 'Reduce overtime workload', 'Consider salary adjustment']"
39,2,1431,1,1,4,3,3,0,96,3,1,2,3,0,2232,15417,7,0,14,3,3,3,7,1,3,3,2,1,2,81.232,56,313392,0.022512559491649,320.94303303048696,Low,Monitor,['Consider salary adjustment']
28,2,304,2,9,4,1,2,1,92,3,2,7,4,2,5253,20750,1,0,16,3,4,0,7,1,3,7,5,0,7,106.253,96,731518,0.0775977743849637,5790.108690504992,Low,Monitor,"['Offer stock incentives', 'Improve work environment']"
33,1,430,2,7,3,3,4,1,54,3,2,7,1,1,4373,17456,0,0,14,3,1,2,5,2,3,4,3,0,3,96.373,75,426238,0.0834445264832968,2570.7903537566503,Low,Monitor,"['Improve job satisfaction', 'Consider salary adjustment']"
26,1,1096,1,6,3,4,3,1,61,4,1,2,4,1,2544,7102,0,0,18,3,1,1,8,3,3,7,7,7,7,93.544,79,715264,0.0254017693115348,1342.6826055730244,Low,Monitor,"['Consider salary adjustment', 'Provide promotion opportunity']"
38,2,345,2,10,2,1,1,0,100,3,2,7,4,1,5343,5982,1,0,11,3,3,1,10,1,3,10,7,1,9,115.343,120,1032058,0.0293060062522556,4186.327798754684,Low,Monitor,['Improve work environment']
35,2,1402,2,28,4,1,2,0,98,2,1,8,3,1,2430,26204,0,0,23,4,1,2,6,5,3,5,3,4,2,107.43,63,514580,0.1966975609848579,6850.432676417729,Low,Monitor,"['Increase employee engagement', 'Improve work environment', 'Consider salary adjustment']"
35,2,1258,1,1,4,1,4,0,40,4,1,6,3,2,2506,13301,3,0,13,3,3,0,7,0,3,2,2,2,2,78.506,51,215036,0.0363023362939551,312.5494756199467,Low,Monitor,"['Offer stock incentives', 'Consider salary adjustment']"
37,2,1225,1,10,2,1,4,1,80,4,1,6,4,2,4680,15232,3,0,17,3,1,0,4,2,3,1,0,0,0,77.68,37,128080,0.0473770584670681,174.4055707426381,Low,Monitor,"['Offer stock incentives', 'Consider salary adjustment']"
40,2,302,1,6,3,1,2,0,75,3,4,4,3,2,13237,20364,7,0,15,3,3,0,22,3,3,20,6,5,13,173.237,246,2079422,0.027965999634985,24782.70706519926,Medium,Review Within 30 Days,"['Offer stock incentives', 'Improve work environment']"
31,2,542,2,20,3,1,2,0,71,1,2,7,3,1,4559,24788,3,1,11,3,3,1,4,2,3,2,2,2,2,90.559,62,227354,0.8475553023053393,10819.170185246778,Low,Monitor,"['Increase employee engagement', 'Improve work environment', 'Reduce overtime workload', 'Consider salary adjustment']"
29,2,657,1,27,3,3,2,0,66,3,2,0,3,1,4335,25549,4,0,12,3,1,1,11,3,2,8,7,1,1,108.335,113,826010,0.3321727315773593,33588.956668313345,Critical,Immediate Action,"['Provide flexible work policy', 'Improve work environment', 'Consider salary adjustment']"
59,2,326,2,3,3,1,3,0,48,2,2,7,4,2,5171,16490,5,0,17,3,4,0,13,2,3,6,1,0,5,103.171,109,631026,0.0329064258153484,2335.1356004872696,Low,Monitor,"['Offer stock incentives', 'Increase employee engagement']"
32,2,601,2,7,5,2,4,1,97,3,2,7,4,1,9204,23343,4,0,12,3,3,1,7,3,2,4,3,0,3,101.204,81,455224,0.0492127750932119,1836.477884753144,Low,Monitor,['Provide flexible work policy']
33,2,267,1,21,3,3,2,1,79,4,1,2,2,1,2028,13637,1,0,18,3,4,3,14,6,3,14,11,2,13,114.028,132,1412168,0.0044102165591354,937.414614346323,Low,Monitor,"['Improve job satisfaction', 'Improve work environment', 'Consider salary adjustment']"
27,2,894,1,9,3,3,4,0,99,3,1,6,2,2,2279,11781,1,0,16,3,4,0,7,2,2,7,7,0,3,93.279,76,713674,0.0375484436990139,1899.7186669089608,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Offer stock incentives', 'Consider salary adjustment']"
43,0,343,1,9,3,1,1,1,52,3,1,6,3,2,2438,24978,4,0,13,3,3,0,7,2,2,3,2,1,2,81.438,56,314628,0.3297075533840556,4730.874123643411,Low,Monitor,"['Provide flexible work policy', 'Offer stock incentives', 'Improve work environment', 'Consider salary adjustment']"
34,2,628,1,8,3,3,2,1,82,4,2,2,3,1,4404,10228,2,0,12,3,1,0,6,3,4,4,3,1,2,96.404,78,426424,0.0784045613608429,2514.0425619619864,Low,Monitor,"['Offer stock incentives', 'Improve work environment', 'Consider salary adjustment']"
37,2,1239,0,8,2,4,3,1,89,3,2,1,2,0,4071,12832,2,0,13,3,3,0,19,4,2,10,0,4,7,114.071,147,1024426,0.0175935504439218,3022.224114004182,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Offer stock incentives', 'Consider salary adjustment']"
36,1,1195,1,11,3,1,2,1,95,2,2,4,2,2,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,104.499,88,638994,0.123320843871156,7246.496300093572,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Increase employee engagement', 'Improve work environment']"
26,2,920,0,20,2,3,4,0,69,3,1,1,2,1,2148,6889,0,1,11,3,3,0,6,3,3,5,1,1,4,87.148,63,512888,0.2113063644947536,5950.220917002587,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Reduce overtime workload', 'Consider salary adjustment']"
41,2,1283,1,5,5,3,2,1,90,4,1,6,3,1,2127,5561,2,1,12,3,1,0,7,5,2,4,2,0,3,84.127,61,412762,0.1969605499026261,4171.998977692785,Low,Monitor,"['Provide flexible work policy', 'Offer stock incentives', 'Improve work environment', 'Reduce overtime workload', 'Consider salary adjustment']"
32,0,862,2,2,1,1,3,0,76,3,1,8,1,0,2827,14947,1,0,12,3,3,3,1,3,3,1,0,0,0,75.827,28,116962,0.0548911787403557,136.31048035941456,Low,Monitor,"['Improve job satisfaction', 'Consider salary adjustment']"
35,2,1146,0,26,4,1,3,0,31,3,3,1,4,2,8837,16642,1,1,16,3,3,0,9,2,3,9,0,1,7,125.837,132,953022,0.1153725579290458,18263.65668894679,Medium,Review Within 30 Days,"['Offer stock incentives', 'Reduce overtime workload']"
39,2,1329,2,4,4,1,4,0,47,2,2,7,3,1,5902,14590,4,0,14,3,3,1,17,1,4,15,11,5,9,130.902,166,1535412,0.012793515253173,4268.440105656822,Low,Monitor,['Increase employee engagement']
59,2,1429,1,18,4,3,4,1,67,3,3,4,4,2,10512,20002,6,0,12,3,4,0,25,6,2,9,7,5,4,127.512,180,963072,0.0067884668743943,1500.5622699353955,Low,Monitor,"['Provide flexible work policy', 'Offer stock incentives']"
29,2,1082,1,9,4,3,4,0,43,3,1,2,3,1,2974,25412,9,0,17,3,3,1,9,2,3,5,3,1,2,87.974,72,517844,0.1089574928842062,3573.904024503914,Low,Monitor,['Consider salary adjustment']
34,2,1031,1,6,4,1,3,0,45,2,2,6,2,0,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,87.505,81,127030,0.0645809491625281,581.4717363315049,Low,Monitor,"['Improve job satisfaction', 'Increase employee engagement', 'Consider salary adjustment']"
45,2,556,1,25,2,1,2,0,93,2,2,4,4,1,5906,23888,0,0,13,3,4,2,10,2,2,9,8,3,8,112.906,115,935436,0.0157447103819704,1912.333433609729,Low,Monitor,"['Provide flexible work policy', 'Increase employee engagement', 'Improve work environment']"
49,2,1490,1,7,4,1,3,1,35,3,3,0,2,0,10466,20948,3,0,14,3,2,2,29,3,3,8,7,0,7,124.466,187,862796,0.0018832365919244,378.1859117018353,Low,Monitor,['Improve job satisfaction']
38,2,119,2,3,3,1,1,1,76,3,3,7,3,0,10609,9647,0,0,12,3,3,2,17,6,2,16,10,5,13,148.609,191,1663654,0.0073563982064211,3473.8152502951843,Low,Monitor,"['Provide flexible work policy', 'Improve work environment']"
31,2,311,1,20,3,1,2,1,89,3,2,2,3,0,4197,18624,1,0,11,3,1,1,10,2,3,10,8,0,2,114.197,120,1025182,0.102860829090377,14450.63507589452,Medium,Review Within 30 Days,"['Improve work environment', 'Consider salary adjustment']"
30,0,111,1,9,3,3,3,1,66,3,2,2,1,0,3072,11012,1,0,11,3,3,2,12,4,3,12,9,6,10,119.072,136,1218432,0.0328950198531197,6490.527674600546,Low,Monitor,"['Improve job satisfaction', 'Consider salary adjustment', 'Provide promotion opportunity']"
33,0,1283,2,2,3,2,4,0,62,3,2,7,2,2,5147,10697,8,0,15,3,4,0,13,2,2,11,7,1,7,118.147,134,1130882,0.078430534158067,14042.032090533368,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Provide flexible work policy', 'Offer stock incentives']"
26,1,342,1,2,3,1,1,1,57,3,1,6,1,1,2042,15346,6,1,14,3,2,1,6,2,3,3,2,1,2,81.042,53,312252,0.8439156194687667,11318.536445853442,Low,Monitor,"['Improve job satisfaction', 'Improve work environment', 'Reduce overtime workload', 'Consider salary adjustment']"
58,2,147,1,23,4,3,4,0,94,3,3,0,4,1,10312,3465,1,0,12,3,4,1,40,3,2,40,10,15,6,220.312,380,4061872,0.0185799014481681,63181.71195797464,Critical,Immediate Action,"['Provide flexible work policy', 'Provide promotion opportunity']"
53,2,1282,1,5,3,4,3,0,58,3,5,3,3,0,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,171.094,248,1514564,0.0005175583146661,332.6085281085899,Low,Monitor,['Provide flexible work policy']
27,2,511,2,2,2,3,1,0,89,4,2,7,3,2,6500,26997,0,0,14,3,2,0,9,5,2,8,7,0,7,110.5,107,839000,0.0460540780704846,4568.526089436891,Low,Monitor,"['Provide flexible work policy', 'Offer stock incentives', 'Improve work environment']"
40,2,369,1,8,2,1,2,0,92,3,2,4,1,1,6516,5041,2,1,16,3,2,1,18,3,3,1,0,0,0,89.516,99,139096,0.2475139865869579,3051.056489179504,Low,Monitor,"['Improve job satisfaction', 'Improve work environment', 'Reduce overtime workload']"
38,2,1495,1,10,3,3,3,0,76,3,2,0,3,1,9824,22174,3,0,19,3,3,1,18,4,3,1,0,0,0,92.824,99,158944,0.0129723200861395,189.4773352434272,Low,Monitor,['Maintain current retention strategy']
44,2,1376,0,1,2,3,2,1,91,2,3,1,1,1,10482,2326,9,0,14,3,4,1,24,1,3,20,6,3,6,160.482,232,2062892,0.0353898916044666,27181.288307124574,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Increase employee engagement', 'Improve work environment']"
41,0,509,1,2,4,4,1,0,62,2,2,0,3,2,6811,2112,2,1,17,3,1,0,10,3,3,8,7,0,7,110.811,110,840866,0.3390903842795053,34755.04267709381,Critical,Immediate Action,"['Offer stock incentives', 'Increase employee engagement', 'Improve work environment', 'Reduce overtime workload']"
37,1,1278,2,1,4,3,3,1,31,1,2,7,4,0,9525,7677,1,0,14,3,3,2,6,2,2,6,3,1,3,107.525,88,657150,0.0375746626565689,2336.4243609971245,Low,Monitor,"['Provide flexible work policy', 'Increase employee engagement']"
46,2,526,2,1,2,2,2,0,92,3,3,7,1,0,10453,2137,1,0,25,4,3,3,24,2,3,24,13,15,7,192.453,252,2462718,0.0174069469735798,20790.384300560872,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Improve work environment', 'Provide promotion opportunity']"
52,2,699,1,1,4,1,3,1,65,2,5,3,3,1,19999,5678,0,0,14,3,1,1,34,5,3,33,18,11,9,228.999,367,3419994,0.0022855155154928,6569.149840760914,Low,Monitor,"['Increase employee engagement', 'Provide promotion opportunity']"
25,1,599,2,24,1,1,3,1,73,1,1,8,4,2,1118,8040,1,1,14,3,4,0,1,4,3,1,0,1,0,74.118,28,106708,0.8745682296068304,1936.744806098378,Low,Monitor,"['Offer stock incentives', 'Increase employee engagement', 'Reduce overtime workload', 'Consider salary adjustment']"
29,1,1404,2,20,3,5,3,0,84,3,1,8,4,1,2157,18203,1,0,15,3,2,1,3,5,3,3,1,0,2,81.157,44,312942,0.0536956546823474,600.0420096835876,Low,Monitor,['Consider salary adjustment']
31,1,444,2,5,3,2,4,0,84,3,1,8,2,0,2789,3909,1,0,11,3,3,1,2,5,2,2,2,2,2,78.789,36,216734,0.0668297528936849,410.8326877512361,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Consider salary adjustment']"
